 episode               m      robot_x      robot_y      goal_x       goal_y      g      f    t_h    t_m    t_s     ep
       1        132   -4.389e-01    2.378e-01   -5.000e-01    5.000e-01   1   0          0   00   17    9.583e-01
       1        208   -9.617e-01   -1.460e+00   -1.000e+00   -1.700e+00   1   0          0   00   44    9.583e-01
       1        281    2.585e-01    1.255e+00    2.000e-01    1.500e+00   1   0          0   01   21    9.583e-01
       1        321   -1.093e+00   -7.371e-01   -1.300e+00   -9.000e-01   1   0          0   01   28    9.583e-01
       1        461    1.092e+00   -3.981e-01   -1.000e+00    1.000e+00   0   1          0   02   32    9.583e-01
       2        530   -1.675e+00    1.241e+00   -1.900e+00    1.100e+00   1   0          0   03   07    9.583e-01
       2        586    2.916e-01   -1.367e+00    5.000e-01   -1.500e+00   1   0          0   03   35    9.583e-01
       2        658    5.287e-01    1.566e+00    5.000e-01    1.800e+00   1   0          0   04   08    9.583e-01
       2        709   -2.332e-01   -1.047e+00    0.000e+00   -1.000e+00   1   0          0   04   35    9.583e-01
       2        776   -1.027e-01    1.346e+00   -1.000e-01    1.600e+00   1   0          0   05   05    9.583e-01
       2        802   -1.755e+00   -8.569e-01   -2.000e+00   -8.000e-01   1   0          0   05   20    9.583e-01
       2        846   -4.541e-01    2.408e-01   -5.000e-01    5.000e-01   1   0          0   05   45    9.583e-01
       1        236   -6.914e-01    3.182e-01   -5.000e-01    5.000e-01   1   0          0   00   13    9.583e-01
       1        404   -1.135e+00   -1.483e+00   -1.000e+00   -1.700e+00   1   0          0   00   22    9.583e-01
       1        800    1.541e-01    1.251e+00    2.000e-01    1.500e+00   1   0          0   00   44    9.583e-01
       1        848   -1.058e+00   -7.568e-01   -1.300e+00   -9.000e-01   1   0          0   00   47    9.583e-01
       1        240   -6.190e-01    2.740e-01   -5.000e-01    5.000e-01   1   0          0   00   13    9.583e-01
       1        400   -1.117e+00   -1.449e+00   -1.000e+00   -1.700e+00   1   0          0   00   21    9.583e-01
       1        864   -7.498e-02    1.436e+00    2.000e-01    1.500e+00   1   0          0   00   45    9.583e-01
       1        924   -1.059e+00   -7.557e-01   -1.300e+00   -9.000e-01   1   0          0   00   49    9.583e-01
       1       1022   -7.287e-01    9.753e-01   -1.000e+00    1.000e+00   1   0          0   01   09    9.583e-01
       1        252   -6.972e-01    3.066e-01   -5.000e-01    5.000e-01   1   0          0   00   16    9.583e-01
       1        424   -1.095e+00   -1.457e+00   -1.000e+00   -1.700e+00   1   0          0   00   27    9.583e-01
       1        252   -6.751e-01    2.932e-01   -5.000e-01    5.000e-01   1   0          0   00   17    9.583e-01
       1        428   -1.129e+00   -1.464e+00   -1.000e+00   -1.700e+00   1   0          0   00   31    9.583e-01
       1        556   -8.213e-02    1.496e+00    2.000e-01    1.500e+00   1   0          0   01   11    9.583e-01
       1        608   -1.039e+00   -7.977e-01   -1.300e+00   -9.000e-01   1   0          0   01   16    9.583e-01
       1        707   -7.292e-01    9.508e-01   -1.000e+00    1.000e+00   1   0          0   01   44    9.583e-01
       1        832   -1.637e+00    1.177e+00   -1.900e+00    1.100e+00   1   0          0   02   17    9.583e-01
       2        976    5.558e-01   -1.218e+00    5.000e-01   -1.500e+00   1   0          0   02   56    9.583e-01
       2        216   -6.855e-01    2.938e-01   -5.000e-01    5.000e-01   1   0          0   00   12    9.583e-01
       1        272   -7.723e-01    4.348e-01   -5.000e-01    5.000e-01   1   0          0   00   23    9.583e-01
       1        444   -1.061e+00   -1.440e+00   -1.000e+00   -1.700e+00   1   0          0   00   38    9.583e-01
       1        577   -8.293e-02    1.526e+00    2.000e-01    1.500e+00   1   0          0   01   19    9.583e-01
       1        629   -1.057e+00   -7.566e-01   -1.300e+00   -9.000e-01   1   0          0   01   23    9.583e-01
       1        945   -7.511e-01    8.904e-01   -1.000e+00    1.000e+00   1   0          0   01   41    9.583e-01
       1        977   -1.210e+00   -3.373e-01   -1.900e+00    1.100e+00   0   1          0   01   49    9.583e-01
       1         45   -1.314e+00   -1.540e+00   -5.000e-01    5.000e-01   0   1          0   00   11    9.583e-01
       2         58   -9.621e-01   -9.354e-01   -1.000e+00   -1.700e+00   0   1          0   00   15    9.583e-01
       3         77   -9.370e-01   -5.203e-01    2.000e-01    1.500e+00   0   1          0   00   21    9.583e-01
       4         80   -8.429e-01   -8.002e-01   -1.300e+00   -9.000e-01   0   1          0   00   23    9.583e-01
       5        104   -1.037e+00   -4.824e-01   -1.000e+00    1.000e+00   0   1          0   00   31    9.583e-01
       1         76   -1.575e+00   -2.221e+00   -5.000e-01    5.000e-01   0   1          0   00   16    9.583e-01
       2         94   -1.052e+00   -9.903e-01   -1.000e+00   -1.700e+00   0   1          0   00   22    9.583e-01
       3        137   -1.642e+00   -5.207e-01    2.000e-01    1.500e+00   0   1          0   00   33    9.583e-01
